"Partinavn";"Kort partinavn";"Parti";"Nummer"
"Stemmeberettigede";"Berret";"BE";"-5"
"Afgivne stemmer";"Total";"TO";"-4"
"Blanke stemmer";"Blanke";"UB";"-3"
"Andre ugyldige stemmer";"Ugyldige";"UA";"-2"
"Gyldige stemmer";"Gyldige";"GY";"-1"
"A. Socialdemokratiet";"Socialdemokratiet";"A";"1"
"B. Det Radikale Venstre";"Radikale Venstre";"B";"2"
"C. Det Konservative Folkeparti";"Konservative Folkeparti";"C";"3"
"D. Centrum-Demokraterne";"Centrum-Demokraterne";"D";"4"
"F. Socialistisk Folkeparti";"Socialistisk Folkeparti";"F";"5"
"K. Kristendemokraterne";"Kristendemokraterne";"K";"6"
"M. Minoritetspartiet";"Minoritetspartiet";"M";"7"
"O. Dansk Folkeparti";"Dansk Folkeparti";"O";"8"
"V. Venstre, Danmarks Liberale Parti";"Venstre";"V";"9"
"Ø. Enhedslisten - De Rød-Grønne";"Enhedslisten";"Ø";"10"
"1. Uden for partierne";"Uden for partierne";"1";"11"
"2. Uden for partierne";"Uden for partierne";"2";"12"
"3. Uden for partierne";"Uden for partierne";"3";"13"
