ValgId;StorKreds navn;A. Socialdemokratiet - K;A. Socialdemokratiet - T;A. Socialdemokratiet - I alt;B. Det Radikale Venstre - K;B. Det Radikale Venstre - T;B. Det Radikale Venstre - I alt;C. Det Konservative Folkeparti - K;C. Det Konservative Folkeparti - T;C. Det Konservative Folkeparti - I alt;E. Danmarks Retsforbund - K;E. Danmarks Retsforbund - T;E. Danmarks Retsforbund - I alt;F. Socialistisk Folkeparti - K;F. Socialistisk Folkeparti - T;F. Socialistisk Folkeparti - I alt;G. De Grønne - K;G. De Grønne - T;G. De Grønne - I alt;H. Det Humanistiske Parti - K;H. Det Humanistiske Parti - T;H. Det Humanistiske Parti - I alt;I. Internationalen - K;I. Internationalen - T;I. Internationalen - I alt;K. Danmarks Kommunistiske Parti - K;K. Danmarks Kommunistiske Parti - T;K. Danmarks Kommunistiske Parti - I alt;L. Marxistisk-Leninistisk Parti - K;L. Marxistisk-Leninistisk Parti - T;L. Marxistisk-Leninistisk Parti - I alt;M. Centrum-Demokraterne - K;M. Centrum-Demokraterne - T;M. Centrum-Demokraterne - I alt;P. Fælles Kurs - K;P. Fælles Kurs - T;P. Fælles Kurs - I alt;Q. Kristeligt Folkeparti - K;Q. Kristeligt Folkeparti - T;Q. Kristeligt Folkeparti - I alt;V. Venstre, Danmarks Liberale Parti - K;V. Venstre, Danmarks Liberale Parti - T;V. Venstre, Danmarks Liberale Parti - I alt;Y. Venstresocialisterne - K;Y. Venstresocialisterne - T;Y. Venstresocialisterne - I alt;Z. Fremskridtspartiet - K;Z. Fremskridtspartiet - T;Z. Fremskridtspartiet - I alt;1. Uden for partierne - K;1. Uden for partierne - T;1. Uden for partierne - I alt;2. Uden for partierne - K;2. Uden for partierne - T;2. Uden for partierne - I alt;Valgte kandidater
155;;1;0;1;0;0;0;1;0;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
155;;3;0;3;0;1;1;1;0;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;
155;;2;0;2;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
155;;5;0;5;1;0;1;5;1;6;0;0;0;3;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;
155;;2;1;3;1;0;1;3;0;3;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;
155;;2;0;2;0;1;1;2;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
155;;3;0;3;1;0;1;2;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
155;;3;0;3;0;0;0;2;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
155;;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
155;;4;1;5;1;0;1;3;0;3;0;0;0;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;
155;;3;0;3;0;0;0;2;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;
155;;2;0;2;0;0;0;2;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;
155;;4;0;4;0;1;1;3;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;2;0;0;0;0;1;1;0;0;0;0;0;0;
155;;2;0;2;0;1;1;2;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;2;0;2;0;0;0;0;1;1;0;0;0;0;0;0;
155;;5;2;7;1;0;1;3;0;3;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;2;0;2;0;0;0;0;1;1;0;0;0;0;0;0;
155;;2;0;2;0;1;1;2;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;
155;;5;1;6;0;1;1;3;0;3;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;1;2;0;2;0;0;0;1;0;1;0;0;0;0;0;0;
155;I alt;49;5;54;5;6;11;37;1;38;0;0;0;24;3;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;9;0;4;4;0;4;4;16;3;19;0;0;0;2;7;9;0;0;0;0;0;0


