"Partinavn";"Kort partinavn";"Parti";"Nummer"
"Stemmeberettigede";"Berret";"BE";"-5"
"Afgivne stemmer";"Total";"TO";"-4"
"Blanke stemmer";"Blanke";"UB";"-3"
"Andre ugyldige stemmer";"Ugyldige";"UA";"-2"
"Gyldige stemmer";"Gyldige";"GY";"-1"
"A. Socialdemokratiet";"Socialdemokratiet";"A";"1"
"B. Radikale Venstre";"Radikale Venstre";"B";"2"
"C. Det Konservative Folkeparti";"Konservative Folkeparti";"C";"3"
"F. SF - Socialistisk Folkeparti";"Socialistisk Folkeparti";"F";"4"
"I. Liberal Alliance";"Liberal Alliance";"I";"5"
"K. Kristendemokraterne";"Kristendemokraterne";"K";"6"
"O. Dansk Folkeparti";"Dansk Folkeparti";"O";"7"
"V. Venstre, Danmarks Liberale Parti";"Venstre";"V";"8"
"Ø. Enhedslisten - De Rød-Grønne";"Enhedslisten";"Ø";"9"
"Å. Alternativet";"Alternativet";"Å";"10"
"D. Nye Borgerlige";"Nye Borgerlige";"D";"11"
"P. Stram Kurs";"Stram Kurs";"P";"12"
"E. Klaus Riskær Pedersen";"Klaus Riskær Pedersen";"E";"13"
"1. Uden for partierne";"Uden for partierne";"1";"14"
"2. Uden for partierne";"Uden for partierne";"2";"15"
"3. Uden for partierne";"Uden for partierne";"3";"16"
"4. Uden for partierne";"Uden for partierne";"4";"17"
"5. Uden for partierne";"Uden for partierne";"5";"18"
