"Partinavn";"Kort partinavn";"Parti";"Nummer"
"Stemmeberettigede";"Berret";"BE";"-5"
"Afgivne stemmer";"Total";"TO";"-4"
"Blanke stemmer";"Blanke";"UB";"-3"
"Andre ugyldige stemmer";"Ugyldige";"UA";"-2"
"Gyldige stemmer";"Gyldige";"GY";"-1"
"A";"A";"A";"1"
"B";"B";"B";"2"
"C";"C";"C";"3"
"F";"F";"F";"4"
"I";"I";"I";"5"
"J";"J";"J";"6"
"K";"K";"K";"6"
"G";"G";"G";"7"
"M";"M";"M";"7"
"N";"N";"N";"7"
"O";"O";"O";"7"
"H";"H";"H";"8"
"S";"S";"S";"8"
"U";"U";"U";"8"
"V";"V";"V";"8"
"Z";"Z";"Z";"9"
"Ø";"Ø";"Ø";"9"
"L";"L";"L";"10"
"R";"R";"R";"10"
"Å";"Å";"Å";"10"
"D";"D";"D";"11"
"P";"P";"P";"12"
"E";"E";"E";"13"
"K1";"K1";"K1";"100"
"K2";"K2";"K2";"100"
"Q";"Q";"Q";"100"
"T";"T";"T";"100"
"W";"W";"W";"100"
"Y";"Y";"Y";"100"
"Æ";"Æ";"Æ";"100"
"Å1";"Å1";"Å1";"100"
